Date,Close/Last,Volume,Open,High,Low
06/02/2017,83.47,3998756,82.96,83.65,82.96
06/01/2017,82.62,6555122,81.96,82.72,81.76
05/31/2017,82.19,5514062,82.28,82.53,81.87
05/30/2017,82.14,1865209,82.65,82.82,82.14
05/26/2017,82.66,3046224,83.23,83.325,82.40
05/25/2017,83.26,3146888,83.39,83.65,83.08
05/24/2017,83.25,2578541,82.69,83.30,82.6503
05/23/2017,82.58,2960147,82.68,82.99,82.53
05/22/2017,82.51,3433736,82.22,82.80,82.16
05/19/2017,82.19,6390302,81.69,82.6799,81.345
05/18/2017,81.75,4128222,81.17,81.96,80.73
05/17/2017,81.30,7243679,80.92,81.61,80.75
05/16/2017,80.97,4338570,81.52,81.69,80.71
05/15/2017,81.52,3263940,81.35,82.2158,81.30
05/12/2017,81.28,3115404,81.75,81.78,81.21
05/11/2017,81.61,3542754,81.72,81.85,80.90
05/10/2017,82.02,3801400,81.37,82.30,81.17
05/09/2017,81.38,5790894,81.81,81.92,81.06
05/08/2017,81.82,3940817,82.58,82.58,81.365
05/05/2017,82.40,5458059,81.81,82.40,81.77
05/04/2017,81.63,8025099,81.52,81.76,80.70
05/03/2017,82.03,6207527,83.10,83.20,81.761
05/02/2017,83.14,4930021,83.38,83.59,82.83
05/01/2017,83.28,6003561,83.15,83.53,82.46
04/28/2017,82.79,5983748,83.44,83.57,82.49
04/27/2017,83.66,4822014,84.01,84.21,83.495
04/26/2017,83.88,4185446,84.45,84.62,83.67
04/25/2017,84.51,3412276,84.16,84.64,84.02
04/24/2017,84.16,6595301,85.50,85.55,83.39
04/21/2017,85.10,3261883,85.36,85.46,84.955
04/20/2017,85.41,3109054,85.24,85.47,84.80
04/19/2017,85.40,3622934,85.45,85.72,85.25
04/18/2017,85.52,2807318,85.22,85.60,85.16
04/17/2017,85.29,3875010,84.40,85.31,84.31
04/13/2017,84.27,2758617,84.43,84.65,84.16
04/12/2017,84.46,3526946,84.58,84.90,84.31
04/11/2017,84.61,3864071,84.06,84.77,83.94
04/10/2017,84.03,2547820,83.56,84.16,83.36
04/07/2017,83.51,4483834,83.59,83.88,83.27
04/06/2017,83.39,4711527,82.77,83.535,82.4335
04/05/2017,82.95,4738656,82.91,83.41,82.82
04/04/2017,82.83,5359286,82.71,83.37,82.5995
04/03/2017,82.83,7468996,82.36,82.985,82.32
03/31/2017,82.59,7167920,82.13,82.8864,81.99
03/30/2017,82.10,4593334,81.82,82.225,81.275
03/29/2017,81.95,3123283,81.46,81.96,81.21
03/28/2017,81.49,4231866,81.33,81.61,80.57
03/27/2017,81.14,4555963,81.76,82.12,80.885
03/24/2017,81.88,4399193,82.09,82.45,81.78
03/23/2017,81.97,7610220,81.38,82.63,81.26
03/22/2017,81.37,4617765,81.51,81.56,80.55
03/21/2017,82.01,6969537,82.48,82.72,81.88
03/20/2017,82.2991,2748459,82.50,82.74,82.16
03/17/2017,82.44,4380626,82.40,82.70,82.00
03/16/2017,82.06,4456696,82.13,82.62,81.91
03/15/2017,82.22,7177822,80.83,82.635,80.78
03/14/2017,80.59,4582403,80.53,80.79,80.07
03/13/2017,80.61,4691167,80.50,81.11,80.34
03/10/2017,80.41,6278799,81.30,81.71,79.98
03/09/2017,80.66,5603906,81.73,82.22,80.48
03/08/2017,81.89,4813519,82.94,83.04,81.83
03/07/2017,83.43,4657760,83.65,83.79,83.03
03/06/2017,83.83,3237738,84.06,84.10,83.43
03/03/2017,84.21,4177733,84.47,84.55,83.35
03/02/2017,84.54,3060351,84.88,84.95,84.25
03/01/2017,85.00,6281427,85.00,85.49,84.70
02/28/2017,85.26,5778068,85.85,85.85,85.06
02/27/2017,85.85,3326643,85.39,86.16,85.32
02/24/2017,85.40,3667337,84.98,85.43,84.52
02/23/2017,85.00,3430881,84.79,85.07,84.22
02/22/2017,84.56,3464404,84.96,85.25,84.13
02/21/2017,84.84,5646284,83.68,84.93,83.57
02/17/2017,83.77,2624100,83.81,83.90,83.069
02/16/2017,83.61,3097795,83.21,84.17,83.12
02/15/2017,83.12,3687275,82.88,83.25,82.34
02/14/2017,83.40,2688029,83.64,83.69,82.75
02/13/2017,83.84,3968165,83.88,84.20,83.38
02/10/2017,83.81,2983820,83.19,83.86,83.03
02/09/2017,83.22,2806980,83.00,83.38,82.92
02/08/2017,83.02,3316779,82.62,83.20,82.30
02/07/2017,82.37,3250658,82.73,83.03,82.235
02/06/2017,82.66,2985822,82.90,83.06,82.489
02/03/2017,82.80,4165039,82.96,83.23,82.46
02/02/2017,82.35,4754825,81.43,82.43,81.42
02/01/2017,81.38,4555854,82.28,82.89,81.32
01/31/2017,82.37,11091380,81.80,82.95,81.80
01/30/2017,81.78,3182619,82.10,82.27,81.57
01/27/2017,82.34,2996090,83.39,83.50,82.02
01/26/2017,83.15,4093711,83.32,83.72,83.0341
01/25/2017,83.31,3461494,83.81,84.16,83.055
01/24/2017,83.86,4204176,83.84,84.21,83.50
01/23/2017,83.84,3165563,83.26,83.97,83.00
01/20/2017,83.14,3285567,82.57,83.1873,82.38
01/19/2017,82.54,3168912,83.08,83.25,82.3361
01/18/2017,83.39,3317374,83.22,83.665,83.03
01/17/2017,83.25,4139242,82.96,83.32,82.76
01/13/2017,82.61,3658131,82.72,83.02,82.33
01/12/2017,82.73,4670639,82.40,82.77,81.60
01/11/2017,82.31,4497715,82.87,82.96,82.23
01/10/2017,82.82,3959333,83.57,83.57,82.78
01/09/2017,83.53,3546074,84.53,84.53,83.495
01/06/2017,84.29,3900813,84.02,84.70,83.82
01/05/2017,84.28,8555670,83.70,84.38,82.92
01/04/2017,84.01,6598461,82.91,84.19,82.83
01/03/2017,82.80,9380340,82.98,83.00,82.14
12/30/2016,82.53,6673362,81.59,82.70,81.20
12/29/2016,81.50,4258426,80.76,81.74,80.45
12/28/2016,80.50,3979496,81.18,81.18,80.24
12/27/2016,80.99,3833036,80.94,81.30,80.61
12/23/2016,80.82,4504471,80.72,82.2832,80.49
12/22/2016,80.61,3891681,80.64,80.88,79.91
12/21/2016,82.44,4998374,83.71,84.26,82.42
12/20/2016,83.71,5193553,83.48,84.08,83.18
12/19/2016,83.52,3662084,82.91,83.88,82.8985
12/16/2016,82.63,6581118,81.58,83.17,81.45
12/15/2016,81.41,3914516,81.82,82.47,81.162
12/14/2016,81.89,4807029,83.62,83.83,81.75
12/13/2016,83.72,4015070,84.10,84.19,83.14
12/12/2016,83.76,3610694,82.98,83.81,82.83
12/09/2016,83.21,4505321,83.35,83.99,83.02
12/08/2016,83.30,4402411,82.45,83.53,82.01
12/07/2016,82.73,5424453,81.17,82.86,81.07
12/06/2016,81.11,3695200,80.80,81.47,80.50
12/05/2016,80.59,3457161,80.01,80.69,79.73
12/02/2016,80.00,3695873,79.56,80.83,79.43
12/01/2016,79.21,6361853,79.92,80.21,78.76
11/30/2016,80.39,6826311,80.55,81.05,80.00
11/29/2016,81.32,3754254,80.63,81.73,80.57
11/28/2016,80.55,4065943,80.18,81.08,80.13
11/25/2016,80.18,1904505,79.80,80.63,79.74
11/23/2016,79.72,6541874,79.36,79.80,79.04
11/22/2016,80.06,4226738,79.07,80.10,78.83
11/21/2016,78.68,3488166,79.18,79.75,78.59
11/18/2016,78.92,3655648,78.79,79.13,78.42
11/17/2016,78.69,3645439,79.46,80.06,78.575
11/16/2016,79.50,10337130,79.76,80.00,78.90
11/15/2016,79.73,7719524,80.67,81.34,79.181
11/14/2016,80.40,6751124,78.40,80.615,78.02
11/11/2016,78.54,5065947,78.00,79.51,77.95
11/10/2016,78.07,13504120,79.30,79.34,76.98
11/09/2016,79.40,10041130,78.70,80.00,77.77
11/08/2016,80.62,4023315,80.18,80.89,79.80
11/07/2016,80.20,5860533,79.41,80.23,79.41
11/04/2016,78.82,4429926,78.39,79.085,78.0601
11/03/2016,78.20,7219432,78.87,79.005,78.18
11/02/2016,78.81,7846977,79.85,80.08,78.79
11/01/2016,79.98,7464973,81.40,81.47,79.70
10/31/2016,81.76,5009666,80.80,81.91,80.47
10/28/2016,80.45,4819067,80.39,81.14,80.15
10/27/2016,80.26,5968898,82.27,82.31,80.04
10/26/2016,82.42,4093093,83.19,83.31,81.85
10/25/2016,83.51,3161360,83.32,83.6158,83.06
10/24/2016,83.66,3948867,83.85,84.51,83.33
10/21/2016,83.47,3193761,83.38,83.685,83.10
10/20/2016,83.78,3261117,83.96,84.3265,83.32
10/19/2016,83.97,2870992,83.81,84.085,83.34
10/18/2016,83.79,2533156,83.81,84.28,83.505
10/17/2016,83.26,3153983,83.15,83.77,83.08
10/14/2016,83.08,3187476,83.30,83.99,82.91
10/13/2016,83.45,3633602,82.47,83.59,82.22
10/12/2016,82.80,3492477,81.99,82.92,81.86
10/11/2016,81.86,4306576,82.55,82.74,81.64
10/10/2016,82.66,2818332,82.22,83.005,82.22
10/07/2016,82.15,6036780,82.80,83.63,81.77
